EXPID,X,Y,rot_rate_model,rot_rate_measured,C
166650,-7.242309,49.12214,0.557,0.18211915557833747,0.3748808444216626
166651,-5.707232,52.02673,0.586,-0.09414029738658297,0.6801402973865829
166652,-6.464352,8.68851,0.453,0.037255543139605295,0.41574445686039474
166753,16.154783,-7.70088,0.409,0.1239110001025728,0.2850889998974272
166754,-0.594867,-2.2954,0.463,-0.036645854518030985,0.499645854518031
166755,3.456411,-1.11207,0.451,-0.013517879863357332,0.46451787986335735
166756,-32.24796,38.55642,0.387,-0.13558424752998763,0.5225842475299877
166757,-36.008417,31.70995,0.342,0.011476472116760728,0.3305235278832393
166758,-33.749943,31.76713,0.358,-0.14522548955103057,0.5032254895510305
166760,-30.627259,24.11386,0.377,-0.013870934888047009,0.39087093488804703
166762,-18.474063,23.14315,0.424,0.01598882278300686,0.40801117721699315
166763,-18.473481,31.1596,0.432,-0.07458754533668065,0.5065875453366806
166765,-17.734955,40.73637,0.473,-0.06009019508169184,0.5330901950816919
166766,-18.702379,45.11314,0.5,-0.14833368261389304,0.648333682613893
166767,-19.479424,48.07969,0.523,-0.04996224926053822,0.5729622492605383
166768,-20.366809,50.50114,0.544,-0.04727191517978506,0.5912719151797851
166769,-21.704016,52.68856,0.563,-0.18519535554891614,0.748195355548916
166770,-10.037486,51.26752,0.577,0.01733668197976426,0.5596633180202357
166771,-21.211545,54.98107,0.594,0.056360203715873566,0.5376397962841264
166772,-23.256833,53.72074,0.569,-0.13540051625692032,0.7044005162569202
166773,-25.319268,55.90916,0.587,-0.22090141793489987,0.8079014179348998
166774,-26.433872,53.68661,0.551,-0.14554804447042768,0.6965480444704277
166775,9.743742,48.24193,0.511,0.2199619103206711,0.29103808967932887
166776,-35.003876,53.88319,0.491,-0.3514350029824284,0.8424350029824283
166777,18.396562,45.45422,0.445,0.18501207793262134,0.25998792206737864
166778,-39.091607,72.02659,0.792,-0.4508961478992143,1.2428961478992142
166779,-39.144855,63.34017,0.6,-0.13380144837107844,0.7338014483710784
166780,-36.513989,69.13498,0.747,-0.19299816331966083,0.9399981633196608
166784,0.629467,52.04076,0.577,0.1566425415083939,0.42035745849160605
166785,-22.580113,53.97379,0.575,-0.025909252194206957,0.6009092521942069
166786,-21.614913,60.24934,0.671,-0.23912199810929008,0.9101219981092901
166787,-16.921561,74.87926,0.995,0.09082827880473907,0.9041717211952609
166788,-15.492902,43.09383,0.495,-0.04740713134111047,0.5424071313411105
166789,-13.114673,56.64966,0.64,0.2663521397953194,0.3736478602046806
166790,-9.037958,66.1113,0.798,0.3129145987477812,0.48508540125221883
166791,-8.316886,71.83129,0.919,-0.11517921041694407,1.034179210416944
166792,-5.273692,62.9644,0.737,0.07828249636739619,0.6587175036326038
166793,-4.93343,59.71252,0.685,-0.12859440848493972,0.8135944084849398
166794,-3.826508,55.9356,0.631,0.022254179974105382,0.6087458200258946
166795,-4.091277,51.37861,0.578,-0.08886876449861988,0.6668687644986199
166796,-3.353689,45.86355,0.527,-0.15879477639931663,0.6857947763993166
166797,-2.690918,42.91304,0.505,-0.036949976744485996,0.541949976744486
166904,-32.309987,15.45197,0.391,-0.15491915533172795,0.545919155331728
166908,-22.673049,11.90673,0.434,0.037982728240487686,0.3960172717595123
166919,-12.259527,39.50928,0.479,-0.13822420418159947,0.6172242041815994
167001,-35.499427,19.84759,0.36,0.008159347597891813,0.35184065240210816
